old,new
1010,1001
0230,0150
0831,0831
0830,0830
0833,0833
0832,0832
0839,0839
0544,0544
0541,0541
0540,0540
0543,0543
0542,0542
0424,03A4
0422,03A2
0423,03A3
0420,03A0
0421,03A1
0300,0300
0530,0530
0120,0120
0721,0721
0720,0720
0920,0920
0600,0600
0601,0601
0330,0330
0110,0110
0522,0522
0521,0521
0520,0520
0321,0321
0320,0320
0323,0323
0322,0322
0910,0910
0750,0750
0610,0610
1012,1012
0260,0180
0100,0100
0900,0900
0350,0350
0291,0191
0290,0190
0293,0193
0429,03A9
0512,0512
0510,0510
0511,0511
0211,0131
0210,0130
0213,0133
0212,0132
0740,0740
1001,1001
1000,1000
0930,0930
0340,0340
0500,0500
0770,0770
0240,0160
0829,0829
0800,0800
0370,0370
0769,0769
0761,0761
0760,0760
0763,0763
0762,0762
0292,0192
0250,0170
0790,0790
0950,0950
1050,1050
1051,1051
1052,1052
0819,0819
0360,0360
0815,0815
0814,0814
0813,0813
0812,0812
0811,0811
0810,0810
0718,0718
0719,0719
0890,0890
0710,0710
0711,0711
0712,0712
0713,0713
0714,0714
0715,0715
0716,0716
0717,0717
0380,0380
0220,0140
0780,0780
0940,0940
0413,0393
0412,0392
0411,0391
0410,0390
0822,0822
0820,0820
0821,0821
0550,0550
0700,0700
0310,0310
0311,0311
0312,0312
0313,0313
